"","City","County"
"505","Mamaroneck, New York",NA
"506","Mamaroneck, New York","Westchester"
"507","Lansing, Michigan","Ingham"
"508","Lansing, Michigan"," Eaton"
"509","Montclair, New Jersey","Essex"
"510","Montclair, New Jersey",NA
"511","Montclair, New Jersey","Essex"
"512","Weston, Massachusetts","Middlesex"
"513","Weston, Massachusetts",NA
"514","Weston, Massachusetts","Middlesex"
"515","Kalamazoo, Michigan","Kalamazoo"
"516","Kalamazoo, Michigan",NA
"517","Kalamazoo, Michigan","Kalamazoo"
"518","Kansas City, Missouri","JacksonClayPlatteCass"
"519","Kansas City, Missouri",NA
"520","Kansas City, Missouri","JacksonClayPlatteCass"
"521","Mount Prospect, Illinois","Cook"
"522","Mount Prospect, Illinois",NA
"523","Mount Prospect, Illinois","Cook"
"524","Staten Island, New York","Richmond"
"525","Staten Island, New York",NA
"526","Staten Island, New York","Richmond"
"527","Radcliff, Kentucky","Hardin"
"528","Radcliff, Kentucky",NA
"529","Radcliff, Kentucky","Hardin"
"530","Ludlow, Massachusetts","Hampden"
"531","Ludlow, Massachusetts",NA
"532","Ludlow, Massachusetts","Hampden"
"533","Killeen, Texas","Bell"
"534","Killeen, Texas",NA
"535","Killeen, Texas","Bell"
"536","Spring, Texas","Harris"
"537","Spring, Texas",NA
"538","Spring, Texas","Harris"
"539","Pompano Beach, Florida"," Broward"
"540","Pompano Beach, Florida",NA
"541","Pompano Beach, Florida"," Broward"
"542","Schaumburg, Illinois","Orleans"
"543","Schaumburg, Illinois",NA
"544","Schaumburg, Illinois","Orleans"
"545","Northampton, Massachusetts","Hampshire"
"546","Northampton, Massachusetts",NA
"547","Northampton, Massachusetts","Hampshire"
"548","Dallas, North Carolina","Gaston"
"549","Dallas, North Carolina",NA
"550","Dallas, North Carolina","Gaston"
"551","Fort Collins, Colorado","Larimer County Seat[1]"
"552","Fort Collins, Colorado",NA
"553","Fort Collins, Colorado","Larimer County Seat[1]"
"554","Eugene, Oregon","Lane"
"555","Eugene, Oregon",NA
"556","Eugene, Oregon","Lane"
"557","Lombard, Illinois","DuPage"
"558","Lombard, Illinois",NA
"559","Lombard, Illinois","DuPage"
"560","Columbus, Ohio","Delaware"
"561","Columbus, Ohio"," Fairfield"
"562","Columbus, Ohio"," Franklin"
"563","Aurora, Illinois","Orleans"
"564","Aurora, Illinois",NA
"565","Aurora, Illinois","Orleans"
"566","Louisa, Virginia","Louisa"
"567","Louisa, Virginia",NA
"568","Louisa, Virginia","Louisa"
"569","Winona, Minnesota","Winona"
"570","Winona, Minnesota",NA
"571","Winona, Minnesota","Winona"
"572","Lakewood, Ohio","Orleans"
"573","Lakewood, Ohio",NA
"574","Lakewood, Ohio","Orleans"
"575","Fishkill, New York","Dutchess"
"576","Fishkill, New York",NA
"577","Fishkill, New York","Dutchess"
"578","Scottsdale, Arizona","Maricopa"
"579","Scottsdale, Arizona",NA
"580","Scottsdale, Arizona","Maricopa"
"581","Sylvania, Ohio","Lucas"
"582","Sylvania, Ohio",NA
"583","Sylvania, Ohio","Lucas"
"584","Allentown, Pennsylvania","Lehigh"
"585","Allentown, Pennsylvania",NA
"586","Allentown, Pennsylvania","Lehigh"
"587","Scranton, Pennsylvania","Lackawanna"
"588","Scranton, Pennsylvania",NA
"589","Scranton, Pennsylvania","Lackawanna"
"590","Hyde Park, New York","Dutchess"
"591","Hyde Park, New York",NA
"592","Hyde Park, New York","Dutchess"
"593","Milford, Ohio","Clermont"
"594","Milford, Ohio",NA
"595","Milford, Ohio","Clermont"
"596","Winston Salem, North Carolina","Forsyth County"
"597","Winston Salem, North Carolina",NA
"598","Winston Salem, North Carolina","Forsyth County"
"599","West Palm Beach, Florida","Palm Beach"
"600","West Palm Beach, Florida",NA
"601","West Palm Beach, Florida","Palm Beach"
"602","Lawrenceville, Georgia","Gwinnett"
"603","Lawrenceville, Georgia",NA
"604","Lawrenceville, Georgia","Gwinnett"
"605","Ridgewood, New York","Orleans"
"606","Ridgewood, New York",NA
"607","Ridgewood, New York","Orleans"
"608","Yonkers, New York","Westchester"
"609","Yonkers, New York",NA
"610","Yonkers, New York","Westchester"
"611","Holiday, Florida","Pasco"
"612","Holiday, Florida",NA
"613","Holiday, Florida","Pasco"
"614","Indiana, Pennsylvania","Orleans"
"615","Indiana, Pennsylvania",NA
"616","Indiana, Pennsylvania","Orleans"
"617","Blairstown, New Jersey","Warren"
"618","Blairstown, New Jersey",NA
"619","Blairstown, New Jersey","Warren"
"620","Clearwater, Florida","Orleans"
"621","Clearwater, Florida",NA
"622","Clearwater, Florida","Orleans"
"623","Corpus Christi, Texas","NuecesKlebergSan PatricioAransas[1]"
"624","Corpus Christi, Texas",NA
"625","Corpus Christi, Texas","NuecesKlebergSan PatricioAransas[1]"
"626","Worcester, Massachusetts","Worcester"
"627","Worcester, Massachusetts",NA
"628","Worcester, Massachusetts","Worcester"
"629","Memphis, Tennessee","Orleans"
"630","Memphis, Tennessee",NA
"631","Memphis, Tennessee","Orleans"
"632","Tempe, Arizona","Orleans"
"633","Tempe, Arizona",NA
"634","Tempe, Arizona","Orleans"
"635","Reno, Nevada","Orleans"
"636","Reno, Nevada",NA
"637","Reno, Nevada","Orleans"
"638","Saint Petersburg, Florida","Pinellas County"
"639","Saint Petersburg, Florida",NA
"640","Saint Petersburg, Florida","Pinellas County"
"641","Muncie, Indiana","Delaware"
"642","Muncie, Indiana",NA
"643","Muncie, Indiana","Delaware"
"644","Randolph, New Jersey","Morris"
"645","Randolph, New Jersey",NA
"646","Randolph, New Jersey","Morris"
"647","Elgin, Illinois","Orleans"
"648","Elgin, Illinois",NA
"649","Elgin, Illinois","Orleans"
"650","Boise, Idaho","Ada"
"651","Boise, Idaho",NA
"652","Boise, Idaho","Ada"
"653","Hartford, Connecticut","NULL"
"654","Hartford, Connecticut",NA
"655","Hartford, Connecticut","NULL"
"656","Muskegon, Michigan","Orleans"
"657","Muskegon, Michigan",NA
"658","Muskegon, Michigan","Orleans"
"659","Bayside, New York","Queens"
"660","Bayside, New York",NA
"661","Bayside, New York","Queens"
"662","Ypsilanti, Michigan","Washtenaw"
"663","Ypsilanti, Michigan",NA
"664","Ypsilanti, Michigan","Washtenaw"
"665","Vancouver, Washington","Clark"
"666","Vancouver, Washington",NA
"667","Vancouver, Washington","Clark"
"668","Geneva, Illinois","Kane"
"669","Geneva, Illinois",NA
"670","Geneva, Illinois","Kane"
"671","Springfield, Ohio","Clark"
"672","Springfield, Ohio",NA
"673","Springfield, Ohio","Clark"
"674","Huntington, West Virginia","Cabell"
"675","Huntington, West Virginia"," Wayne"
"676","Lawrence, Kansas","Douglas"
"677","Lawrence, Kansas",NA
"678","Lawrence, Kansas","Douglas"
"679","Cambridge, Massachusetts","Orleans"
"680","Cambridge, Massachusetts",NA
"681","Cambridge, Massachusetts","Orleans"
"682","Sandusky, Ohio","Erie"
"683","Sandusky, Ohio",NA
"684","Sandusky, Ohio","Erie"
"685","Horseheads, New York","Chemung"
"686","Horseheads, New York",NA
"687","Horseheads, New York","Chemung"
"688","Davison, Michigan","Genesee"
"689","Davison, Michigan",NA
"690","Davison, Michigan","Genesee"
"691","Sioux Falls, South Dakota","Minnehaha"
"692","Sioux Falls, South Dakota"," Lincoln"
"693","Milwaukee, Wisconsin","Milwaukee"
"694","Milwaukee, Wisconsin"," Washington"
"695","Milwaukee, Wisconsin"," Waukesha"
"696","Rochester, Minnesota","Olmsted"
"697","Rochester, Minnesota",NA
"698","Rochester, Minnesota","Olmsted"
"699","Olympia, Washington","Thurston"
"700","Olympia, Washington",NA
"701","Olympia, Washington","Thurston"
"702","Allendale, New Jersey","Bergen"
"703","Allendale, New Jersey",NA
"704","Allendale, New Jersey","Bergen"
"705","Fayetteville, North Carolina","Cumberland"
"706","Fayetteville, North Carolina",NA
"707","Fayetteville, North Carolina","Cumberland"
"708","York, Pennsylvania","York"
"709","York, Pennsylvania",NA
"710","York, Pennsylvania","York"
"711","Bangor, Maine","Penobscot"
"712","Bangor, Maine",NA
"713","Bangor, Maine","Penobscot"
"714","Lima, Ohio","Allen"
"715","Lima, Ohio",NA
"716","Lima, Ohio","Allen"
"717","Boiling Springs, South Carolina","Spartanburg"
"718","Boiling Springs, South Carolina",NA
"719","Boiling Springs, South Carolina","Spartanburg"
"720","Virginia Beach, Virginia","Princess Anne (Independent city)"
"721","Virginia Beach, Virginia",NA
"722","Virginia Beach, Virginia","Princess Anne (Independent city)"
