"County","PriceAverage","Ns"
"Darke, Ohio",244.111373638068,2
"Darlington, South Carolina",242.672188003804,1
"Dauphin, Pennsylvania",280.202604130907,35
"Davidson, North Carolina",271.188661771137,22
"Davidson, Tennessee",400,1
"Davie, North Carolina",120,1
"Daviess, Illinois",174.211191163646,1
"Daviess, Indiana",289.511111494943,2
"Daviess, Kentucky",222.131714022434,5
"Davis, Louisiana",157.348202009612,3
"Davis, Utah",209.506749958547,22
"Dawes, Nebraska",384.034808695055,1
"Dawson, Georgia",154.002470856378,3
"Dawson, Nebraska",242.213341900189,3
"Dearborn, Indiana",400,1
"Decatur, Georgia",180.811844385193,1
"Decatur, Indiana",260.359765946735,2
"Decatur, Iowa",161.743496524024,1
"Decatur, Tennessee",170.57834414724,1
"Defiance, Ohio",152.569608523792,1
"DeKalb, Alabama",240.159961661889,4
"DeKalb, Georgia",292.915580515772,410
"DeKalb, Illinois",241.694769455386,8
"DeKalb, Indiana",343.342592912452,3
"DeKalb, Missouri",338.756024320674,1
"Delaware, Indiana",248.887812906384,25
"Delaware, New York",265.372487633457,5
"Delaware, Ohio",265.367394524243,172
"Delaware, Oklahoma",355,1
"Delaware, Pennsylvania",312.19652129677,68
"Del, California",151.572702690815,28
"Del Norte, California",151.572702690815,28
"Delta, Colorado",196.070223887006,4
"Delta, Michigan",209.444085519683,3
"Delta, Texas",99.7569871436675,1
"Dent, Missouri",253.877559584242,1
"Denton, Texas",276.261910280246,596
"Deschutes, Oregon",187.975798883643,41
"Des, Iowa",380,1
"Des Moines, Iowa",380,1
"DeSoto, Florida",221.567782561701,6
"DeSoto, Louisiana",79.6684480211351,1
"Desoto, Mississippi",560,1
"DeSoto, Mississippi",253.414956092439,13
"Dickenson, Virginia",150,1
"Dickinson, Iowa",330.871748262012,2
"Dickinson, Kansas",820.57583131984,2
"Dickinson, Michigan",332.499596209644,5
"Dickson, Tennessee",229.040391861922,3
"Diego, California",240.731677796353,1447
"Dillon, South Carolina",400,2
"Dimmit, Texas",374.088701788753,2
"Dodge, Georgia",188.842487800093,1
"Dodge, Nebraska",333.703901970605,5
"Dodge, Wisconsin",274.600975982967,8
"Dona Ana, New Mexico",280,3
"Doña Ana, New Mexico",258.364638536743,14
"Dona, New Mexico",280,3
"Doña, New Mexico",258.364638536743,14
"Dooly, Georgia",100,1
"Door, Wisconsin",367.5,2
"Dorado, California",206.490437319532,115
"Dorchester, Maryland",200.564595168345,3
"Dorchester, South Carolina",255.988530167855,28
"Douglas, Colorado",208.534303156505,125
"Douglas, Georgia",249.981772288285,14
"Douglas, Kansas",316.938214543784,53
"Douglas, Minnesota",352,5
"Douglas, Nebraska",290.829423858899,96
"Douglas, Oregon",197.836761545918,11
"Douglas, Washington",249.468329704781,5
"Douglas, Wisconsin",255.391651659902,5
"Drew, Arkansas",333.419309049536,3
"Dubois, Indiana",300,1
"Dubuque, Iowa",336.824150854649,10
"Duchesne, Utah",348.584285635327,3
"Dukes, Massachusetts",429.878781749377,4
"Dunn, Wisconsin",279.924774782116,4
"DuPage, Illinois",312.187751019868,702
"Duplin, North Carolina",287.575473147559,3
"Durham, North Carolina",301.835678258694,128
"Dutchess, New York",287.06365387482,45
"Duval, Florida",255.934199639054,138
"du, Wisconsin",256.078584953706,4
"Dyer, Tennessee",251.21889609816,2
"Eagle, Colorado",223.428089554802,5
"Eagle Pitkin, Colorado",217.140447774011,1
"Early, Georgia",500,1
"Earth, Minnesota",312.736285783745,11
"East Baton Rouge, Louisiana",304.010894069752,94
"East Feliciana, Louisiana",400,1
"East, Louisiana",305.021305711123,95
"Eaton, Michigan",238.292861821825,45
"Eau Claire, Wisconsin",280.823412204536,15
"Eau, Wisconsin",280.823412204536,15
"Ector, Texas",232.013532586449,11
"Eddy, New Mexico",275.966691902511,7
"Edgecombe, North Carolina",274.147689846268,11
"Edgefield, South Carolina",236.130836389331,4
"Edwards, Kansas",124.317212624374,1
"Effingham, Georgia",265.09226397867,2
"Elbert, Colorado",229.285111943503,2
"Elbert, Georgia",115.719580406524,1
"El, California",206.490437319532,115
"El, Colorado",256.813538809943,10
"Elder, Utah",400,1
"El Dorado, California",206.490437319532,115
"Elkhart, Indiana",257.981990274945,16
"Elko, Nevada",63.6910007176044,1
"Ellis, Kansas",294.044097674123,3
"Ellis, Texas",253.388761290154,30
"Elmore, Alabama",204.537556125855,5
"El Paso, Colorado",256.813538809943,10
"El Paso, Texas",286.031169770072,46
"El, Texas",286.031169770072,46
"Emanuel, Georgia",257.296868068235,2
"Emery, Utah",275,1
"Emmet, Iowa",140,1
"Emmet, Michigan",322.138238337759,6
"Erath, Texas",124.696233929584,1
