"State","AveragePrice_2010-09","AveragePrice_2010-10","AveragePrice_2010-11","AveragePrice_2010-12","AveragePrice_2011-01","AveragePrice_2011-02","AveragePrice_2011-03","AveragePrice_2011-04","AveragePrice_2011-05","AveragePrice_2011-06","AveragePrice_2011-07","AveragePrice_2011-08","AveragePrice_2011-09","AveragePrice_2011-10","AveragePrice_2011-11","AveragePrice_2011-12","AveragePrice_2012-01","AveragePrice_2012-02","AveragePrice_2012-03","AveragePrice_2012-04","AveragePrice_2012-05","AveragePrice_2012-06","AveragePrice_2012-07","AveragePrice_2012-08","AveragePrice_2012-09","AveragePrice_2012-10","AveragePrice_2012-11","AveragePrice_2012-12","AveragePrice_2013-01","AveragePrice_2013-02","AveragePrice_2013-03","AveragePrice_2013-04","AveragePrice_2013-05","UserPer","Population","PercentagePopulation","Weight"
"Montana",151.4687925,199.5805,48.3565666666667,136.63329,41.561175,129.65225,77.7877625,89.9394380952381,95.1886931034483,111.595546666667,92.9923363636364,204.879588235294,154.419341666667,77.841675,194.8413375,181.866639130435,102.4915625,198.719946153846,151.677482608696,192.26210625,206.11104,185.88625,175.862576666667,137.893625,174.600865217391,155.257511111111,176.832448387097,183.629910526316,181.667968571429,211.548105263158,137.04599047619,142.160881818182,216.507516666667,16.35,1005141,0.32,0.00459688515343159
"Nebraska",142.536102083333,213.663470588235,103.6747,153.203407692308,154.1325625,191.123642857143,174.116125,111.854453846154,106.0157,67.6470727272727,-0.845733333333333,120.92985,124.0384,213.197883333333,102.322466666667,105.314111111111,201.083728571429,136.38325,222.606118181818,294.318365,212.811082352941,231.041484,167.07880952381,227.470356,144.502782758621,166.258466666667,186.362526190476,204.478012903226,150.731081578947,192.762916666667,160.391681818182,147.483178048781,158.908555172414,9.2,1855525,0.58,0.0046882605463897
"Nevada",155.896543589744,65.5993636363636,269.70555,212.92725,197.95144,206.324925,129.01435,186.472,282.330233333333,188.771661538462,221.155925,187.5849,215.944576923077,186.545533333333,121.3227,187.406009090909,165.5942,179.3274,221.646583333333,217.020236538462,209.351226086957,207.416451162791,204.642591525424,227.479751851852,199.633641666667,173.31015,190.267804705882,181.712506410256,210.963206097561,173.172816666667,196.215004918033,198.717966666667,196.382544444444,12.75,2758931,0.86,0.00963395369024796
"New Hampshire",157.259245945946,198.736064285714,233.058684210526,201.590228571429,140.255663636364,218.5646625,219.287433333333,148.588814285714,197.201692857143,188.335733333333,208.363308333333,168.773086666667,195.48743125,131.546258333333,263.692857142857,161.637542857143,186.381488888889,248.309185714286,218.168690909091,164.582532,219.441216666667,212.44308,180.579711538462,183.131265384615,171.377276470588,204.317153333333,205.203325,189.674402564103,179.0691375,209.93957,161.159708333333,156.600314285714,192.962685,14.07,1320718,0.42,0.00519205526102611
"New Jersey",235.385661594203,194.936478,184.358125806452,186.338727027027,197.5988625,191.506179411765,188.253116666667,190.8324625,210.58691,218.394041176471,237.0898275,207.742744117647,230.395007692308,235.3907375,207.657683333333,210.064037931034,229.671240425532,212.673809090909,202.151391489362,212.154813761468,257.905345631068,238.720144347826,232.615165816327,245.174673631841,240.630429411765,224.190736054422,214.086004278075,210.612977102804,214.521253617021,231.351098765432,208.721605759162,196.897269005848,230.542533548387,10.73,8864590,2.81,0.0264912200547901
"New Mexico",178.811822222222,70.311175,100.06364,138.380833333333,123.6389,106.682633333333,190.37255,155.1915,127.280233333333,142.781875,103.3115,170.555585714286,92.3010285714286,220.46605,94.29775,158.3364,103.967525,261.239166666667,193.99618,253.817485714286,129.755327777778,225.134204761905,207.804728571429,186.46304375,237.2364875,216.662817777778,186.865565853659,191.064869767442,191.085810810811,204.65365,199.640555172414,198.907745,178.894984210526,13.29,2085538,0.66,0.00770663578646976
"New York",183.669987625,202.138760946746,176.288772043011,189.337823,181.655230681818,180.679619178082,200.076831958763,186.181188118812,205.368653731343,195.411296551724,217.069071794872,210.031876190476,198.466359649123,203.948121333333,216.412903571429,179.845929411765,191.254107627119,199.279586486486,191.623898540146,210.915980882353,232.683183520599,207.295835135135,214.235228490028,214.160670108696,219.51463807947,217.229707692308,205.838203170732,211.449564302059,201.428267956989,215.966455737705,206.833929453682,202.273549859155,214.294862893082,12.47,19570261,6.19,0.0678192559582907
"North Carolina",160.619189634146,180.877669090909,152.052494871795,170.198824489796,183.171114705882,141.616853125,148.889948484848,144.549461363636,185.557169047619,193.048416666667,169.886693548387,179.505487931034,164.661854285714,183.938436363636,239.099845,191.586641176471,207.560480769231,180.294356666667,213.32898,227.368492045455,212.216147311828,216.664558163265,218.704827272727,207.724012142857,199.050721582734,217.406666438356,213.884024561404,197.164159770115,200.967933333333,215.478669662921,209.516044186047,213.816185882353,215.374493251534,11.15,9752073,3.05,0.0298793141925315
"North Dakota",101.67599047619,193.412366666667,421,220.4977,258.0938,141.467525,170.83128,112.824483333333,217.0665,381,NA,223.3165,146.682633333333,NA,-6.5851,3.4149,131.572233333333,83.3493,128.059233333333,304.2219,282.994228571429,183.259344444444,179.5050375,153.02687,206.633633333333,205.395076923077,204.616533333333,182.632278571429,125.760038461538,136.22473,146.570683333333,147.207111764706,148.30778,8.91,699628,0.21,0.00164396632465326
"Ohio",143.462611057692,137.259431034483,136.029733898305,152.794885915493,158.153138,161.747562,153.208657142857,116.285117241379,139.468015789474,165.70744375,169.76600877193,145.118896,182.248794642857,154.677189795918,126.96961372549,166.050843181818,171.738719672131,180.506004761905,158.572096969697,172.492075,163.314379699248,186.944811016949,171.937789949749,176.48502972973,195.415350684931,185.402454210526,180.306038157895,174.822453333333,177.77402781457,182.107924401914,182.985551626016,178.472736410256,181.803793292683,11.5,11544225,3.69,0.0372837961555561
